id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31292751,OUTLANDERS. Porto City Center. Vintage Double Room,231994631,Outlanders,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15314,-8.61262,Entire home/apt,35,2,5,05/09/2019,0.23,4,179
31299353,Quarto compartilhado hostel feminino 4,99254174,Simone,MATOSINHOS,São Mamede de Infesta e Senhora da Hora,41.18839,-8.64764,Shared room,15,1,7,25/09/2019,0.31,14,365
31304647,Chambre,35804804,Pascal,GONDOMAR,Baguim do Monte (Rio Tinto),41.18625,-8.53959,Private room,20,2,3,10/08/2020,0.36,2,335
31308918,"JOY studio apartment in the heart of Porto, A/C",6001685,Elena,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15605,-8.61823,Entire home/apt,15,1,97,28/01/2021,3.93,1,257
31315228,Sucá Apartments - in the heart of Porto (Apt 1),234394881,Girafa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14451,-8.61417,Entire home/apt,120,2,79,18/03/2020,3.13,4,72
31324680,Porto2Enjoy,234486730,Sofia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15581,-8.62029,Entire home/apt,55,2,3,25/02/2020,0.12,1,0
31326788,The Old Wine Cellar Studio 2,246230594,Filipe,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.1229,-8.60905,Entire home/apt,45,2,5,01/01/2020,0.23,4,1
31331531,River magnific ML Apartments,64196096,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14227,-8.6146,Entire home/apt,47,2,2,09/12/2019,0.09,12,47
31331966,Panoramic views Casa Música,64196096,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16108,-8.63173,Entire home/apt,36,2,1,24/06/2020,0.13,12,0
31332452,Luxury apartment in historic building downtown,64196096,Miguel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14755,-8.60335,Entire home/apt,30,2,0,,,12,46
31332710,Sucá Apartments - in the heart of Porto (Apt 2),234394881,Girafa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14333,-8.61311,Entire home/apt,106,2,79,15/03/2020,3.21,4,72
31332852,Sucá Apartments - in the heart of Porto (Apt4),234394881,Girafa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14451,-8.61417,Entire home/apt,75,2,76,16/03/2020,3.1,4,72
31332997,Sucá Apartments - in the heart of Porto (Apt3),234394881,Girafa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14451,-8.61417,Entire home/apt,60,2,54,09/03/2020,2.17,4,72
31342497,"Beach & Pool 3 Bed Apartment, Porto- Francelos",147383952,Hetty,VILA NOVA DE GAIA,Gulpilhares e Valadares,41.07907,-8.64689,Entire home/apt,115,2,13,28/08/2020,0.6,1,365
31346184,Rustikales Haus mit Flair / Teilvermietung,210564323,Carlos,SANTA MARIA DA FEIRA,"Canedo, Vale e Vila Maior",41.03822,-8.45031,Private room,11,3,3,12/09/2019,0.15,1,120
31350724,Porto Hostel - Stay 4 ALL,45934980,Maria José E Francisco,PORTO,Bonfim,41.14598,-8.59877,Shared room,15,2,26,03/01/2020,1.05,1,90
31354134,Pequeno conforto 2,187929994,Lígia,VILA NOVA DE GAIA,Arcozelo,41.04044,-8.64529,Private room,25,1,34,06/09/2020,1.53,4,0
31371482,Appartement vue sur mer,8357534,Canidelo,VILA NOVA DE GAIA,Canidelo,41.11658,-8.65672,Entire home/apt,49,3,1,20/08/2019,0.06,1,267
31373716,Alojamento maritimo II (room/quarto1),232679224,Alojamentomaritimo,ESPINHO,Espinho,41.00703,-8.63722,Private room,60,3,1,08/08/2019,0.05,4,365
31373825,BelaVista | Downtown Porto (w/ free parking),96831178,OportoHouses |,PORTO,Bonfim,41.15175,-8.59995,Entire home/apt,50,3,38,28/12/2020,1.51,19,224
31385422,"Historical Ribeira Duplex, Magellan House",235058118,Global,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14149,-8.61252,Entire home/apt,95,2,2,31/12/2019,0.11,1,364
31399844,Mouzinho`s Place,35468894,Gedeone,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14471,-8.61133,Entire home/apt,218,2,10,27/09/2020,0.41,10,332
31401757,Porto Heritage Downtown Flat II,3953109,Feels Like Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1434,-8.60511,Entire home/apt,46,2,1,12/05/2019,0.05,74,358
31403026,Stone Wall Apartment,77153972,Silvia & Edu,PORTO,Paranhos,41.16869,-8.59584,Entire home/apt,49,3,13,31/10/2019,0.58,11,364
31403137,Brand New VW California Coast Porto,24288915,Loyd,PORTO,Bonfim,41.14917,-8.58916,Entire home/apt,72,5,0,,,3,323
31403399,Casa Moinhos do Rio,235214228,Maria,PAREDES,Paredes,41.19814,-8.32788,Entire home/apt,55,5,3,10/10/2019,0.15,1,355
31406809,Brand new fully equipped VW T6 Campervan  Porto,24288915,Loyd,PORTO,Bonfim,41.14904,-8.58915,Entire home/apt,70,5,0,,,3,323
31412437,Brand New 2019 VW T6 Siesta Beach - Porto,24288915,Loyd,PORTO,Campanhã,41.15041,-8.58925,Entire home/apt,60,5,0,,,3,323
31427656,Easy Studio at Wine Cellars,3171018,Gisela,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13602,-8.61149,Entire home/apt,40,2,26,19/08/2020,1.32,1,178
31431842,The Porto Concierge - Back to Daisy Boutique,235438978,The Porto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14323,-8.60364,Entire home/apt,16,1,130,02/02/2021,5.13,54,363
31432108,Room Ramalde,161989922,Lúcia,PORTO,Ramalde,41.17334,-8.63467,Private room,18,1,40,04/03/2020,1.57,1,351
31437014,"Porto Faria House 5:  Private Suite, AC → Subway",137545572,Anabela,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15741,-8.61054,Private room,21,2,42,30/12/2020,1.67,15,195
31438011,Lovely Nest Downtown Porto,92797951,Claudia,PORTO,Bonfim,41.14887,-8.60109,Entire home/apt,36,2,99,24/01/2021,4.29,13,167
31455435,Porto Heritage Downtown Flat I,3953109,Feels Like Home,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14339,-8.60318,Entire home/apt,54,2,25,28/10/2019,1.01,74,0
31458585,Casa da Lila,235657637,Maria Luisa,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14384,-8.60271,Entire home/apt,45,3,19,08/08/2020,0.78,1,364
31461848,PortoSense Ribeira T0 Aprt 2/3 Pax,14921668,PortoSense,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14119,-8.61231,Entire home/apt,120,1,0,,,5,364
31462135,PortoSense RibeiraT0 Aprt 2/3 pax,14921668,PortoSense,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14135,-8.61411,Entire home/apt,120,1,1,18/03/2019,0.04,5,364
31464725,The Getaway Van - OLD TOWN,22091788,Getaway,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.1987,-8.63096,Entire home/apt,45,3,0,,,6,364
31464996,Porto 3. Sunshine White Sands Beach M1.3,39551356,Porto Je T'Aime,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17984,-8.68897,Private room,29,2,10,07/09/2019,0.5,23,44
31465302,The Getaway Van - GREEN 24,22091788,Getaway,MATOSINHOS,"Custóias, Leça do Balio e Guifões",41.20018,-8.63105,Entire home/apt,45,3,1,26/10/2019,0.06,6,364
